Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Constructor,"model.Fornecedor.Fornecedor",,1,,0
Public Constructor,"model.Fornecedor.Fornecedor",,1,,0
Public Method,"model.Fornecedor.atualizarEstatistica",,3,,1
Public Method,"model.Fornecedor.getCnpj",,1,,0
Public Method,"model.Fornecedor.getNomeContato",,1,,0
Public Method,"model.Fornecedor.setCnpj",,1,,0
Public Method,"model.Fornecedor.setNomeContato",,1,,0
Public Method,"model.Fornecedor.tipoPessoa",,1,,0
Public Method,"model.Fornecedor.toString",,1,,0
Public Class,"model.ItemCompra",1,8,1,0
Public Constructor,"model.ItemCompra.ItemCompra",,1,,0
Public Method,"model.ItemCompra.getProduto",,1,,0
Public Method,"model.ItemCompra.getQuantidadeCompra",,1,,0
Public Method,"model.ItemCompra.getValorCompra",,1,,0
Public Method,"model.ItemCompra.setProduto",,1,,0
Public Method,"model.ItemCompra.setQuantidadeCompra",,1,,0
Public Method,"model.ItemCompra.setValorCompra",,1,,0
Public Method,"model.ItemCompra.toString",,1,,0
Public Class,"model.ItemVenda",1,9,1,0
Public Constructor,"model.ItemVenda.ItemVenda",,1,,0
Public Constructor,"model.ItemVenda.ItemVenda",,1,,0
Public Method,"model.ItemVenda.getProduto",,1,,0
Public Method,"model.ItemVenda.getQuantidadeVenda",,1,,0
Public Method,"model.ItemVenda.getValorVenda",,1,,0
Public Method,"model.ItemVenda.setProduto",,1,,0
Public Method,"model.ItemVenda.setQuantidadeVenda",,1,,0
Public Method,"model.ItemVenda.setValorVenda",,1,,0
Public Method,"model.ItemVenda.toString",,1,,0
Public Abstract Class,"model.Pessoa",1,14,1,0
Public Constructor,"model.Pessoa.Pessoa",,1,,0
Public Constructor,"model.Pessoa.Pessoa",,1,,0
Public Abstract Method,"model.Pessoa.atualizarEstatistica",,0,,0
Public Method,"model.Pessoa.compareTo",,1,,0
Public Method,"model.Pessoa.getCodigo",,1,,0
Public Method,"model.Pessoa.getDataCadastrada",,1,,0
Public Method,"model.Pessoa.getEmail",,1,,0
